variant,sample,r,ic1,ic2,ic3
drop_eua__credito,pre_covid,11,0.019171719127806353,0.14188000049362293,-0.27714798817674413
drop_eua__credito,pre_covid,12,0.04415421377114992,0.17801779344294988,-0.27910364874290505
drop_eua__credito,pre_covid,13,0.06650674020227432,0.21152561818005755,-0.28368927752128537
drop_eua__credito,pre_covid,14,0.09063677754395716,0.2468109538277239,-0.286497395389107
drop_eua__credito,pre_covid,15,0.11319557953137016,0.28052505412112017,-0.2908767486111987
drop_eua__credito,pre_covid,16,0.13837818377410804,0.3168629566698413,-0.29263229957796544
drop_eua__credito,pre_covid,17,0.16453582911889786,0.35417590032061463,-0.29341280944268
drop_eua__credito,pre_covid,18,0.1889885280160708,0.38978389752377085,-0.29589826575501177
drop_eua__credito,pre_covid,19,0.21233295284687204,0.42428362066055536,-0.29949199613371524
drop_eua__credito,pre_covid,20,0.23598682180303987,0.45909278792270647,-0.3027762823870519
drop_eua__credito__imoveis,full,1,-0.10072448371057512,-0.09211926101452758,-0.12333591975375949
drop_eua__credito__imoveis,full,2,-0.1610856048283187,-0.14387515943622364,-0.20630847691468746
drop_eua__credito__imoveis,full,3,-0.19461449295418598,-0.1687988248660434,-0.26244880108373914
drop_eua__credito__imoveis,full,4,-0.20536305812392758,-0.17094216733973744,-0.29580880229666506
drop_eua__credito__imoveis,full,5,-0.21169898118387004,-0.16867286770363238,-0.32475616139979196
drop_eua__credito__imoveis,full,6,-0.20715761026281032,-0.15552627408652514,-0.34282622652191663
drop_eua__credito__imoveis,full,7,-0.19892398792074623,-0.13868742904841347,-0.3572040402230369
drop_eua__credito__imoveis,full,8,-0.19141028709408558,-0.1225685055257053,-0.3723017754395606
drop_eua__credito__imoveis,full,9,-0.1814767841295868,-0.10402977986515904,-0.3849797085182462
drop_eua__credito__imoveis,full,10,-0.16419470336306685,-0.07814247640259153,-0.3903090637949107
drop_eua__credito__imoveis,full,11,-0.14653208258981598,-0.051874632933293086,-0.3952578790648441
drop_eua__credito__imoveis,full,12,-0.12740551891632435,-0.024142846563753984,-0.3987427514345369
drop_eua__credito__imoveis,full,13,-0.1091487277025961,0.0027191673460218446,-0.403097396263993
drop_eua__credito__imoveis,full,14,-0.09067566749436184,0.02979745025030367,-0.40723577209894324
drop_eua__credito__imoveis,full,15,-0.07172663399973922,0.05735170644097365,-0.4108981746475049
drop_eua__credito__imoveis,full,16,-0.0511380259763452,0.08654553716041535,-0.41292100266729526
drop_eua__credito__imoveis,full,17,-0.029392499741090594,0.11689628609171732,-0.41378691247522503
drop_eua__credito__imoveis,full,18,-0.008735836063058944,0.14615817246579654,-0.41574168484037777
drop_eua__credito__imoveis,full,19,0.01135479655295124,0.1748540277778543,-0.41826248826755186
drop_eua__credito__imoveis,full,20,0.03127624854678168,0.20338070246773232,-0.420952472316906
drop_eua__credito__imoveis,pre_covid,1,-0.06872005760615861,-0.05744920263899314,-0.09587390357635486
