variant,sample,q,aw_ic2
drop_setor_externo__eua__credito,pre_covid,2,-0.35242422062527845
drop_setor_externo__eua__credito__imoveis,full,1,-0.5144242057514811
drop_setor_externo__eua__credito__imoveis,full,2,-0.5669935944053146
drop_setor_externo__eua__credito__imoveis,full,3,-0.5652883540867106
drop_setor_externo__eua__credito__imoveis,full,4,-0.5617427554349734
drop_setor_externo__eua__credito__imoveis,full,5,-0.5479847795050831
drop_setor_externo__eua__credito__imoveis,pre_covid,1,-0.33570210444389414
drop_setor_externo__eua__credito__imoveis,pre_covid,2,-0.35008028209115505
drop_setor_externo__eua__imoveis,full,1,-0.4239741958501967
drop_setor_externo__eua__imoveis,full,2,-0.4944311618648558
drop_setor_externo__eua__imoveis,full,3,-0.49659522475426465
drop_setor_externo__eua__imoveis,full,4,-0.49308289092138186
drop_setor_externo__eua__imoveis,pre_covid,1,-0.33641503793178773
drop_setor_externo__eua__imoveis,pre_covid,2,-0.3509238511348849
drop_setor_externo__expectativas,full,1,-0.42602066980563535
drop_setor_externo__expectativas,full,2,-0.4915867053782499
drop_setor_externo__expectativas,full,3,-0.49377778302235537
drop_setor_externo__expectativas,full,4,-0.49006505023672103
drop_setor_externo__expectativas,pre_covid,1,-0.3337029128233149
drop_setor_externo__expectativas,pre_covid,2,-0.3455908581152808
drop_setor_externo__expectativas__credito,full,1,-0.426877485439163
drop_setor_externo__expectativas__credito,full,2,-0.49083179225973306
drop_setor_externo__expectativas__credito,full,3,-0.49417860512798717
drop_setor_externo__expectativas__credito,full,4,-0.4912517385965533
drop_setor_externo__expectativas__credito,pre_covid,1,-0.3325162021579353
drop_setor_externo__expectativas__credito,pre_covid,2,-0.344476746813113
drop_setor_externo__expectativas__credito__imoveis,full,1,-0.42619332220642375
drop_setor_externo__expectativas__credito__imoveis,full,2,-0.49019994831278346
drop_setor_externo__expectativas__credito__imoveis,full,3,-0.4932727405336206
drop_setor_externo__expectativas__credito__imoveis,full,4,-0.4906880402328778
drop_setor_externo__expectativas__credito__imoveis,pre_covid,1,-0.32953773427989247
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,-0.3420586945759725
drop_setor_externo__expectativas__eua,full,1,-0.4293851501401911
drop_setor_externo__expectativas__eua,full,2,-0.5028003950248449
drop_setor_externo__expectativas__eua,full,3,-0.5073035069716082
drop_setor_externo__expectativas__eua,full,4,-0.5031417747910338
drop_setor_externo__expectativas__eua,pre_covid,1,-0.34197885928130534
drop_setor_externo__expectativas__eua,pre_covid,2,-0.3581973841235553
drop_setor_externo__expectativas__eua__credito,full,1,-0.5172734259253065
drop_setor_externo__expectativas__eua__credito,full,2,-0.5762103028163454
drop_setor_externo__expectativas__eua__credito,full,3,-0.5756280082007108
drop_setor_externo__expectativas__eua__credito,full,4,-0.5697031518400105
drop_setor_externo__expectativas__eua__credito,full,5,-0.5573844398758184
drop_setor_externo__expectativas__eua__credito,pre_covid,1,-0.3409683596325642
drop_setor_externo__expectativas__eua__credito,pre_covid,2,-0.3573005617639603
drop_setor_externo__expectativas__eua__credito__imoveis,full,1,-0.5185682467600059
drop_setor_externo__expectativas__eua__credito__imoveis,full,2,-0.5762074197858774
drop_setor_externo__expectativas__eua__credito__imoveis,full,3,-0.5761761931130462
drop_setor_externo__expectativas__eua__credito__imoveis,full,4,-0.5704895488254598
drop_setor_externo__expectativas__eua__credito__imoveis,full,5,-0.5583541465117288
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,1,-0.33791786567930343
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,2,-0.35487381180429434
drop_setor_externo__expectativas__eua__imoveis,full,1,-0.5174942819925219
drop_setor_externo__expectativas__eua__imoveis,full,2,-0.5771612932728716
drop_setor_externo__expectativas__eua__imoveis,full,3,-0.5757967270767215
drop_setor_externo__expectativas__eua__imoveis,full,4,-0.5684429336323729
drop_setor_externo__expectativas__eua__imoveis,full,5,-0.5556112651262834
drop_setor_externo__expectativas__eua__imoveis,pre_covid,1,-0.3387034184985069
drop_setor_externo__expectativas__eua__imoveis,pre_covid,2,-0.3556205617375279
drop_setor_externo__expectativas__imoveis,full,1,-0.4258018983520916
drop_setor_externo__expectativas__imoveis,full,2,-0.491180946242292
drop_setor_externo__expectativas__imoveis,full,3,-0.49319876358024883
drop_setor_externo__expectativas__imoveis,full,4,-0.48984975778210643
drop_setor_externo__expectativas__imoveis,pre_covid,1,-0.33052476574294276
drop_setor_externo__expectativas__imoveis,pre_covid,2,-0.3430455417936728
drop_setor_externo__imoveis,full,1,-0.4223879123958937
drop_setor_externo__imoveis,full,2,-0.483909431273243
drop_setor_externo__imoveis,full,3,-0.48349743926651734
drop_setor_externo__imoveis,full,4,-0.48091925117958756
drop_setor_externo__imoveis,pre_covid,1,-0.3283852536927653
drop_setor_externo__imoveis,pre_covid,2,-0.3387228727236148
