variant,sample,r,ic1,ic2,ic3
baseline,pre_covid,13,0.06368099127402327,0.22891625213602773,-0.32343882383854705
baseline,pre_covid,14,0.08934863248901292,0.2672942980327102,-0.32754962993990877
baseline,pre_covid,15,0.11524750990320998,0.3059035801286001,-0.3314291998420633
baseline,pre_covid,16,0.14199510637128543,0.34536158127836813,-0.33446005069033935
baseline,pre_covid,17,0.16762749070797534,0.38370437029675064,-0.33860611367000115
baseline,pre_covid,18,0.19286552895600795,0.42165281322647585,-0.34314652273832014
baseline,pre_covid,19,0.21775637922496238,0.4592540681771231,-0.3480341197857173
baseline,pre_covid,20,0.23931657851378674,0.49352467214763984,-0.35625236781324454
conjunto_completo_sem_duplicatas,full,1,-0.09471089731579346,-0.08599005282362503,-0.11764916042475936
conjunto_completo_sem_duplicatas,full,2,-0.15224633336185794,-0.13480464437752107,-0.19812285957978973
conjunto_completo_sem_duplicatas,full,3,-0.1881844119614135,-0.1620218784849082,-0.25699920128831116
conjunto_completo_sem_duplicatas,full,4,-0.1993938413770417,-0.16451046340836795,-0.29114689381290526
conjunto_completo_sem_duplicatas,full,5,-0.20323155509087298,-0.15962733263003082,-0.31792287063570246
conjunto_completo_sem_duplicatas,full,6,-0.19742512595462824,-0.14510005900161765,-0.33505470460842357
conjunto_completo_sem_duplicatas,full,7,-0.19012143323152159,-0.12907552178634263,-0.3506892749942829
conjunto_completo_sem_duplicatas,full,8,-0.17993789970490914,-0.11017114376756165,-0.3634440045766363
conjunto_completo_sem_duplicatas,full,9,-0.16722695943451715,-0.0887393590050013,-0.3736713274152102
conjunto_completo_sem_duplicatas,full,10,-0.15428334852926484,-0.0670749036075805,-0.3836659796189238
conjunto_completo_sem_duplicatas,full,11,-0.13859444746498994,-0.04266515805113724,-0.3909153416636149
conjunto_completo_sem_duplicatas,full,12,-0.12356992255031596,-0.018919788644294777,-0.39882907985790667
conjunto_completo_sem_duplicatas,full,13,-0.10748282833551936,0.005888150062670183,-0.405680248752076
conjunto_completo_sem_duplicatas,full,14,-0.09050887267920804,0.031582950211149874,-0.4116445562047306
conjunto_completo_sem_duplicatas,full,15,-0.0727839687456947,0.05802869863683169,-0.41685791538018313
conjunto_completo_sem_duplicatas,full,16,-0.05287234020793452,0.08666117166676046,-0.4198845499513888
conjunto_completo_sem_duplicatas,full,17,-0.0326988291107404,0.11555552725612284,-0.4226493019631604
conjunto_completo_sem_duplicatas,full,18,-0.01338137737836953,0.14359382348066219,-0.4262701133397556
conjunto_completo_sem_duplicatas,full,19,0.006080314920441143,0.17177636027164112,-0.4297466841499109
conjunto_completo_sem_duplicatas,full,20,0.026769632894354523,0.2011865227377232,-0.4319956292849634
conjunto_completo_sem_duplicatas,pre_covid,1,-0.06578640533171798,-0.05538063458395269,-0.09130616798067301
conjunto_completo_sem_duplicatas,pre_covid,2,-0.09935890123831165,-0.07854735974278107,-0.1503984265362217
conjunto_completo_sem_duplicatas,pre_covid,3,-0.10074125834132563,-0.06952394609802975,-0.1773005462881907
conjunto_completo_sem_duplicatas,pre_covid,4,-0.09124076403527104,-0.04961768104420988,-0.19331981463109113
conjunto_completo_sem_duplicatas,pre_covid,5,-0.08273316264818259,-0.03070430890935616,-0.2103319758929577
conjunto_completo_sem_duplicatas,pre_covid,6,-0.075086211156846,-0.012651586670254233,-0.22820478705057612
conjunto_completo_sem_duplicatas,pre_covid,7,-0.059743482185770413,0.013096913048586623,-0.23838182072845548
conjunto_completo_sem_duplicatas,pre_covid,8,-0.0406698095738145,0.042576356408307814,-0.24482791076545468
conjunto_completo_sem_duplicatas,pre_covid,9,-0.02224201669352066,0.07140992003636704,-0.25191988053411585
conjunto_completo_sem_duplicatas,pre_covid,10,0.0020244985722546183,0.10608220604990748,-0.2531731279172956
conjunto_completo_sem_duplicatas,pre_covid,11,0.02736791750897727,0.14183139573439552,-0.2533494716295279
