sample,r,q,variable,h,point
pre_covid,5,4,asset_ibov,2,-24.271711498535613
pre_covid,5,4,asset_ibov,3,-28.132083319281957
pre_covid,5,4,asset_ibov,4,-30.44476308949571
pre_covid,5,4,asset_ibov,5,-27.245873062464064
pre_covid,5,4,asset_ibov,6,-28.29240357372936
pre_covid,5,4,asset_ibov,7,-30.40721349214476
pre_covid,5,4,asset_ibov,8,-31.793519296737728
pre_covid,5,4,asset_ibov,9,-34.146915603383334
pre_covid,5,4,asset_ibov,10,-36.64081037143204
pre_covid,5,4,asset_ibov,11,-40.02695329903543
pre_covid,5,4,asset_ibov,12,-43.98408140452224
pre_covid,5,4,asset_ibov,13,-47.41425649997254
pre_covid,5,4,asset_ibov,14,-50.74843738391894
pre_covid,5,4,asset_ibov,15,-53.772419820700804
pre_covid,5,4,asset_ibov,16,-56.220690668356745
pre_covid,5,4,asset_ibov,17,-58.40524571237273
pre_covid,5,4,asset_ibov,18,-60.384667786971924
pre_covid,5,4,asset_ibov,19,-62.232721548895434
pre_covid,5,4,asset_ibov,20,-63.944541140096725
pre_covid,5,4,asset_ibov,21,-65.5845124553362
pre_covid,5,4,asset_ibov,22,-67.23112269284856
pre_covid,5,4,asset_ibov,23,-68.75359807358439
pre_covid,5,4,asset_ibov,24,-70.11400889374795
pre_covid,5,4,asset_ibov,25,-71.31329396528034
pre_covid,5,4,asset_ibov,26,-72.25393806836875
pre_covid,5,4,asset_ibov,27,-72.89659091106545
pre_covid,5,4,asset_ibov,28,-73.26005041434873
pre_covid,5,4,asset_ibov,29,-73.35540039843862
pre_covid,5,4,asset_ibov,30,-73.17989036736836
pre_covid,5,4,asset_ibov,31,-72.76172439970395
pre_covid,5,4,asset_ibov,32,-72.14014171540144
pre_covid,5,4,asset_ibov,33,-71.31402598447248
