variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
drop_eua,8,6,6,118,153,147,7.841773068241414,7.841773068241414,TRUE,0,8.693333365245623,0.9821281877448556,TRUE
drop_eua,8,7,6,118,153,147,7.897940761749507,7.897940761749507,TRUE,0,8.537144820764295,0.9821281877448556,TRUE
drop_eua,8,8,6,118,153,147,9.661559169219904,9.661559169219904,TRUE,0,11.178600140256997,0.9821281877448556,TRUE
drop_eua__credito,1,1,6,116,153,147,3.3697041016471,3.3697041016471,FALSE,NA,4.78053329012951,0.8856128212772096,TRUE
drop_eua__credito,2,1,6,116,153,147,0.215491705139272,0.215491705139272,FALSE,NA,0.20580858131988017,0.9678407425748468,TRUE
drop_eua__credito,2,2,6,116,153,147,6.413128688843746,6.413128688843746,FALSE,NA,17.023898757826522,0.9678407425748468,TRUE
drop_eua__credito,3,1,6,116,153,147,2.615570937799197,2.615570937799197,FALSE,NA,2.310188779143073,0.973147290432018,TRUE
drop_eua__credito,3,2,6,116,153,147,4.41013149737643,4.41013149737643,FALSE,NA,7.091065299144505,0.973147290432018,TRUE
drop_eua__credito,3,3,6,116,153,147,6.050668059513842,6.050668059513842,FALSE,NA,10.889479958527344,0.973147290432018,TRUE
drop_eua__credito,4,1,6,116,153,147,2.9772981833362233,2.9772981833362233,FALSE,NA,3.180126103007729,0.966152845317509,TRUE
drop_eua__credito,4,2,6,116,153,147,3.3768245458078465,3.3768245458078465,FALSE,NA,4.498253365237927,0.966152845317509,TRUE
drop_eua__credito,4,3,6,116,153,147,5.225122008235862,5.225122008235862,FALSE,NA,8.952480338866254,0.966152845317509,TRUE
drop_eua__credito,4,4,6,116,153,147,6.229363069742916,6.229363069742916,FALSE,NA,12.050611991802104,0.966152845317509,TRUE
drop_eua__credito,5,1,6,116,153,147,4.100841785859431,4.100841785859431,FALSE,NA,4.7888754369433935,0.962379390622266,TRUE
drop_eua__credito,5,2,6,116,153,147,3.3304661314130595,3.3304661314130595,FALSE,NA,4.126056257391354,0.962379390622266,TRUE
drop_eua__credito,5,3,6,116,153,147,2.691675720575395,2.691675720575395,TRUE,0,3.0621333910463733,0.962379390622266,TRUE
drop_eua__credito,5,4,6,116,153,147,4.270720066608397,4.270720066608397,TRUE,0,5.680379939689972,0.962379390622266,TRUE
drop_eua__credito,5,5,6,116,153,147,6.412731246533622,6.412731246533622,TRUE,0,10.793538776844397,0.962379390622266,TRUE
drop_eua__credito,6,1,6,116,153,147,4.23766083546518,4.23766083546518,FALSE,NA,4.56588790418822,0.975078357576807,TRUE
drop_eua__credito,6,2,6,116,153,147,2.3674655833300453,2.3674655833300453,FALSE,NA,2.197802365662099,0.975078357576807,TRUE
drop_eua__credito,6,3,6,116,153,147,2.6260077404790705,2.6260077404790705,TRUE,0,2.4945873687040265,0.975078357576807,TRUE
drop_eua__credito,6,4,6,116,153,147,3.182115759035943,3.182115759035943,TRUE,0,2.985224281055305,0.975078357576807,TRUE
drop_eua__credito,6,5,6,116,153,147,4.385162707780208,4.385162707780208,TRUE,0,4.310059289884002,0.975078357576807,TRUE
drop_eua__credito,6,6,6,116,153,147,7.112463703704007,7.112463703704007,TRUE,0,8.307316650153037,0.975078357576807,TRUE
