variant,r,q,xi_mp,xi_mp_reestimated,old_grid_xi_difference
drop_expectativas,8,8,7.443192171826371,7.443192171826371,0
drop_expectativas__credito,5,3,2.1480835321838714,2.1480835321838714,0
drop_expectativas__credito,5,4,3.4979377014009985,3.4979377014009985,0
drop_expectativas__credito,5,5,5.452316318077203,5.452316318077203,0
drop_expectativas__credito,6,3,1.95785593292639,1.95785593292639,0
drop_expectativas__credito,6,4,3.3515451191785033,3.3515451191785033,0
drop_expectativas__credito,6,5,3.951771234179345,3.951771234179345,0
drop_expectativas__credito,6,6,6.027856840475218,6.027856840475218,0
drop_expectativas__credito,7,3,0.9915884482279368,0.9915884482279368,1.1102230246251563e-16
drop_expectativas__credito,7,4,3.542900077168728,3.542900077168728,4.440892098500626e-16
drop_expectativas__credito,7,5,4.053671343704738,4.053671343704738,0
drop_expectativas__credito,7,6,4.293934886145164,4.293934886145164,0
drop_expectativas__credito,7,7,7.145482759541726,7.145482759541726,0
drop_expectativas__credito,8,3,4.512940988894891,4.512940988894891,0
drop_expectativas__credito,8,4,4.941709998176185,4.941709998176185,0
drop_expectativas__credito,8,5,5.509962915943526,5.509962915943526,0
drop_expectativas__credito,8,6,5.413192891817373,5.413192891817373,0
drop_expectativas__credito,8,7,5.263088205518602,5.263088205518602,0
drop_expectativas__credito,8,8,7.872113703775333,7.872113703775333,0
drop_expectativas__credito__imoveis,5,3,2.3267436925184706,2.3267436925184706,0
drop_expectativas__credito__imoveis,5,4,3.8510505292812462,3.8510505292812462,4.440892098500626e-16
drop_expectativas__credito__imoveis,5,5,5.461030111251504,5.461030111251504,0
drop_expectativas__credito__imoveis,6,3,1.932675927086476,1.932675927086476,2.220446049250313e-16
drop_expectativas__credito__imoveis,6,4,3.4757054587875618,3.4757054587875618,0
drop_expectativas__credito__imoveis,6,5,4.155454151127273,4.155454151127273,0
drop_expectativas__credito__imoveis,6,6,6.205597630598946,6.205597630598946,0
drop_expectativas__credito__imoveis,7,3,1.0493952054857394,1.0493952054857394,0
drop_expectativas__credito__imoveis,7,4,3.5058162513290623,3.5058162513290623,0
drop_expectativas__credito__imoveis,7,5,4.242787059524977,4.242787059524977,0
drop_expectativas__credito__imoveis,7,6,4.600245755899074,4.600245755899074,0
drop_expectativas__credito__imoveis,7,7,7.697922835981508,7.697922835981508,0
drop_expectativas__credito__imoveis,8,3,4.569119229443622,4.569119229443622,0
drop_expectativas__credito__imoveis,8,4,4.761930954968542,4.761930954968542,0
drop_expectativas__credito__imoveis,8,5,5.694415194964381,5.694415194964381,0
drop_expectativas__credito__imoveis,8,6,5.672190449479344,5.672190449479344,0
drop_expectativas__credito__imoveis,8,7,5.47174775954167,5.47174775954167,0
drop_expectativas__credito__imoveis,8,8,8.321694434787416,8.321694434787416,0
drop_expectativas__eua,5,3,2.503587559264888,2.503587559264888,0
drop_expectativas__eua,5,4,3.724147546478973,3.724147546478973,0
drop_expectativas__eua,5,5,5.774901341850221,5.774901341850221,0
drop_expectativas__eua,6,3,2.0396869718752706,2.0396869718752706,0
drop_expectativas__eua,6,4,3.583965900848358,3.583965900848358,0
drop_expectativas__eua,6,5,4.254574776040789,4.254574776040789,0
drop_expectativas__eua,6,6,6.2862546554130185,6.2862546554130185,0
drop_expectativas__eua,7,3,6.32736106704107,6.32736106704107,0
drop_expectativas__eua,7,4,5.733481221555315,5.733481221555315,0
drop_expectativas__eua,7,5,6.459927530817371,6.459927530817371,0
drop_expectativas__eua,7,6,6.730010362028142,6.730010362028142,0
drop_expectativas__eua,7,7,9.510255672097877,9.510255672097877,1.7763568394002505e-15
drop_expectativas__eua,8,3,6.573212456144319,6.573212456144319,0
drop_expectativas__eua,8,4,6.589603731812319,6.589603731812319,0
drop_expectativas__eua,8,5,7.658082994308443,7.658082994308443,0
drop_expectativas__eua,8,6,7.622660049085657,7.622660049085657,0
