sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict
full,8,8,5,ok,0.9829725022706615,NA,episodio_s2,rotate,TRUE,69,79,3.0871372215959587,2.2644331331299394,10.26480241588012,-2.7896173927005954,0.2517933392494587,1.1709380692902827,2.41619447901582,0.4595404595404595,73.75298977285215,1.400913795280075e-4,0.12375249500998003,0.19078914099631436,1,1,FALSE,NA,FALSE,fails
full,8,8,5,ok,0.9829725022706615,NA,intensidade_z,permute,FALSE,49,99,5.428896395150018,2.5941083831267404,12.164105248658306,-3.8348011284619834,0.3552179188063862,3.409162406110834,2.4600849091634904,0.1928071928071928,75.65646722026193,8.092295676508142e-5,0.059880239520958084,0.12168222785744014,1,1,FALSE,NA,FALSE,fails
full,8,8,5,ok,0.9829725022706615,NA,volatilidade_juros,permute,TRUE,37,111,7.2317824834237445,2.514989840034292,22.634171758890332,-1.4395092489472225,0.4200821670766494,2.1358628432299,2.819395786927406,0.1048951048951049,79.94246305245366,2.2738285393318425e-5,0.07584830339321358,0.06524254483851157,1,1,FALSE,NA,FALSE,fails
full,8,8,5,ok,0.9829725022706615,2017-12-01,quebra_livre,rotate,TRUE,94,54,3.7279425357831855,2.253061364942096,9.682748905589897,-2.31368626303776,0.3243900064334713,1.6866442269760975,1.9444188705675673,0.2917082917082917,57.18771665726261,0.010361503548411638,0.2834331337325349,0.09262988752884485,1,1,FALSE,NA,FALSE,fails
full,8,8,6,ok,0.9784795064156645,NA,calendario,permute,TRUE,98,49,3.9485962085713036,1.9111381615002498,8.810270470651895,-2.516825735366369,0.37272539457547393,2.716508525468251,2.039175947636995,0.15484515484515485,53.71989993612647,0.022392420108721126,0.3532934131736527,0.03621031516184456,1,1,FALSE,NA,FALSE,fails
full,8,8,6,ok,0.9784795064156645,NA,episodio_s2,rotate,TRUE,69,78,3.2645021971290777,2.0612887819353243,10.005699992231317,-2.991491509446701,0.29850951789331687,1.5262731412846122,2.287528635513176,0.41358641358641357,72.63540731068241,1.9247346862671187e-4,0.12375249500998003,0.1594056983830107,1,1,FALSE,NA,FALSE,fails
full,8,8,6,ok,0.9784795064156645,NA,intensidade_z,permute,FALSE,49,98,5.132334438253225,2.552924613365758,10.781096244626934,-3.7944192334144544,0.34945244920750473,3.0687715717489494,2.5266384151212495,0.18581418581418582,74.78691556352125,1.0410409511877694e-4,0.0658682634730539,0.13390686052939246,1,1,FALSE,NA,FALSE,fails
full,8,8,6,ok,0.9784795064156645,NA,volatilidade_juros,permute,TRUE,37,110,7.939230191229181,2.830667204213699,21.40523684181713,-1.294582947904197,0.46762982294438193,2.6404772289272587,2.8377838714317956,0.04695304695304695,69.59162773440111,4.490731057425505e-4,0.12375249500998003,0.14281010114572845,1,1,FALSE,NA,FALSE,fails
full,8,8,6,ok,0.9784795064156645,2020-03-01,quebra_livre,rotate,TRUE,67,80,3.374437924342993,2.0744471754762075,10.511962845932631,-3.0161353215446325,0.2984222836124119,1.5355023025012215,2.2587232872732126,0.4095904095904096,68.66631830347558,5.778508212601583e-4,0.1317365269461078,0.12470357024149355,1,1,FALSE,NA,FALSE,fails
full,8,8,7,ok,0.981987036110389,NA,calendario,permute,TRUE,97,49,3.7838960443599947,1.9372887998192638,8.028677677015377,-2.2613125187629435,0.42095845073625904,3.067455189095098,2.1071837266941826,0.1258741258741259,40.52268472782778,0.23976903388783152,0.6447105788423154,0.039707513000437206,1,1,FALSE,NA,FALSE,fails
