window_cell,q,variable,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90
cheia_p4,5,yield_6m,11,0.004780147006050342,1.1932324571474993e-4,0.008258842791244886,-0.006212344815628977,0.010882139628060221,interval,interval
cheia_p4,5,yield_2y,11,0.0038688318294132873,-0.0014330856426596713,0.007828159280556784,-0.008632394416856691,0.010815722537641126,interval,interval
cheia_p4,5,ibc_br,11,-0.2731369993292549,-0.7382913650248346,0.09439253182694353,-1.339967008448208,0.3898161155594109,interval,interval
cheia_p4,5,asset_ibov,11,1.8658073263307535,0.9686992611339861,2.561586859805963,-0.2106805614890111,3.1093929870143806,interval,interval
cheia_p4,5,cds_5y,11,4.181414726730844,-6.415789244763175,13.239746343467079,-19.182413543256285,21.17888150490198,interval,interval
cheia_p4,5,price_ipca,11,-0.0897146414381049,-0.25309030624131645,0.02638374123093454,-0.4842125871109565,0.10919575762235272,interval,interval
cheia_p4,5,cambio_usd,12,-0.03822151321083335,-0.10343328619386083,0.024028062797715487,-0.1740848506146466,0.08538712568521253,interval,interval
cheia_p4,5,yield_6m,12,0.004022813217032068,-7.48732285194415e-4,0.007669341192580922,-0.0071019177197454006,0.010493312607369246,interval,interval
cheia_p4,5,yield_2y,12,0.002859295258670481,-0.002570000767347202,0.00698379995330299,-0.00983596786538706,0.010156597166969256,interval,interval
cheia_p4,5,ibc_br,12,-0.2947202085800899,-0.7481209979616845,0.06769132930342191,-1.3286344551324212,0.3627687515502686,interval,interval
cheia_p4,5,asset_ibov,12,1.8220960133040882,0.8526935987950691,2.5597942185344063,-0.44274427651005743,3.1283689788804914,interval,interval
cheia_p4,5,cds_5y,12,1.6305565705104699,-9.089291022294038,10.762451824042676,-22.04467446773718,18.73638073603963,interval,interval
cheia_p4,5,price_ipca,12,-0.11322659859063623,-0.28144926335584286,0.006443280447625513,-0.5192237331388035,0.09190619239014844,interval,interval
cheia_p4,5,cambio_usd,13,-0.04787720865315929,-0.11402660738753743,0.014128447656462673,-0.18699386166100587,0.07409665657023579,interval,interval
cheia_p4,5,yield_6m,13,0.003230031021206048,-0.001638717947745386,0.0070318042153263245,-0.008001825056401471,0.01004777603587569,interval,interval
cheia_p4,5,yield_2y,13,0.001867642160723098,-0.0036740338682872587,0.006144939356820808,-0.01098990800224158,0.00949441883683201,interval,interval
cheia_p4,5,ibc_br,13,-0.31952244034744565,-0.7648419883844843,0.038482097837365836,-1.3321040685430143,0.3318343502830564,interval,interval
cheia_p4,5,asset_ibov,13,1.6613824222792857,0.6139499692082003,2.455191972169012,-0.7906770466299821,3.064196267102645,interval,interval
cheia_p4,5,cds_5y,13,-0.5231645276558968,-11.337163958411072,8.681924480631267,-24.41555276793692,16.713112615617398,interval,interval
cheia_p4,5,price_ipca,13,-0.13412337854911596,-0.3064259898893589,-0.01135615993757013,-0.5496537078268531,0.07647753226519369,interval,interval
cheia_p4,5,cambio_usd,14,-0.0575720448820978,-0.12474616989113148,0.004379365906376423,-0.2000305152198676,0.06327989870656871,interval,interval
