p,variable,h,point,lo68,hi68,lo90,hi90
4,yield_3m,28,-0.0010518783050292883,-0.00243505262166114,0.002657743937405796,-0.0038791795162006304,0.004633655345255208
4,yield_3m,29,-0.0013245317775245269,-0.0027315120588699746,0.0023769794977127143,-0.004016976708446951,0.004322564552093132
4,yield_3m,30,-0.0015755209651052025,-0.002924243097227166,0.0021373790288555174,-0.004230678357872085,0.004141003900527399
4,yield_3m,31,-0.0018042598551920761,-0.003162550016427467,0.0018525280124312448,-0.004465091354454095,0.0037626548705742926
4,yield_3m,32,-0.0020103873399609806,-0.0032671432577480028,0.0015951969101631507,-0.0047647893160456065,0.0035828848311111965
4,yield_3m,33,-0.0021937457351860735,-0.0034683681664387884,0.001379152509185848,-0.005077783546167155,0.003334592821554155
4,yield_3m,34,-0.002354351424420887,-0.0036621977917222046,0.0011392348671137931,-0.005330276869267258,0.003077698584619487
4,yield_3m,35,-0.002492395766318978,-0.003800386941952513,9.580875350045365e-4,-0.005497091001176583,0.0027707631397207574
4,yield_3m,36,-0.002608233548486209,-0.0039564759789386,6.718720868596383e-4,-0.005591432737176082,0.0025840862361791975
4,yield_3m,37,-0.002702362704629611,-0.004057345533845036,5.570802421577823e-4,-0.005596739987358992,0.002544083426711697
4,yield_3m,38,-0.0027754131770142214,-0.004156195599576961,4.3133000080140116e-4,-0.005718870613278674,0.0024002834026292134
4,yield_3m,39,-0.002828134915866141,-0.004247849390186303,3.77999974405759e-4,-0.0058863352876346135,0.0023312908349509354
4,yield_3m,40,-0.0028613820124212446,-0.004293677321851643,2.9893529308276266e-4,-0.005872263401992962,0.0023020668007730943
4,yield_3m,41,-0.0028760991838144875,-0.004359285089730076,2.1770928996684254e-4,-0.005892781299684799,0.002198293752683444
4,yield_3m,42,-0.002873309195611731,-0.004347135813967987,1.6535587454223017e-4,-0.005940636212451094,0.002117198760260013
4,yield_3m,43,-0.0028540992845082357,-0.004346726677338109,1.2747998545409826e-4,-0.005946817641050521,0.0020635418378600434
4,yield_3m,44,-0.0028196083216600275,-0.004327196026318938,8.957744046244462e-5,-0.00594089840251073,0.001975114689401954
4,yield_3m,45,-0.0027710149054961993,-0.004321085942022842,1.250204762010786e-4,-0.006008475704119184,0.001863530311341894
4,yield_3m,46,-0.002709525637894442,-0.004306239332454064,1.3670772465368468e-4,-0.005874385743616891,0.0017566018551771708
4,yield_3m,47,-0.0026363639686059993,-0.004250845947065671,2.336440445481835e-4,-0.005837941820564248,0.0016849934150829624
4,yield_3m,48,-0.002552759853874294,-0.0041867835230657985,2.3133645136713595e-4,-0.0057728484378949925,0.0016418365532284522
4,yield_6m,0,0.005,0.005,0.005,0.005,0.005
4,yield_6m,1,0.006088467301406979,0.005351980342063337,0.0066612160826845564,0.004927936437385693,0.007099417390358856
4,yield_6m,2,0.006759142628097832,0.005530285533615697,0.007758620246289096,0.004849589338767835,0.008471269929794715
4,yield_6m,3,0.007308233317511989,0.005851557416336096,0.00878031552637768,0.004951020762126534,0.009839548398026116
4,yield_6m,4,0.007377255789568813,0.005736663134472304,0.009305655699726979,0.004633987735430947,0.010652128872688498
4,yield_6m,5,0.007304323214397644,0.005431431763096985,0.009675618922628169,0.004273212295599362,0.011330480262104965
4,yield_6m,6,0.007324161237945722,0.005374027345288028,0.010086033690671853,0.004163906839467571,0.011982095951375537
4,yield_6m,7,0.007122783544216527,0.005170390995996408,0.010272641578444581,0.0038225015077787013,0.012370995057635652
