r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,4,cambio_usd,34,-0.0652390603180639,-0.11928021572517766,0.010025014589486705,-0.1701651939411314,0.04309766335731721,q=5
5,5,4,cambio_usd,35,-0.06075002306673001,-0.11404174491310387,0.01296223074958718,-0.16578391711814397,0.04717224232892105,q=5
5,5,4,cambio_usd,36,-0.056146000918598817,-0.11006191238454713,0.015814706932484858,-0.1609002505036563,0.04770909803234149,q=5
5,5,4,cambio_usd,37,-0.05146537571307737,-0.1054863723890012,0.017902105712343165,-0.15622245788384298,0.05004659630505804,q=5
5,5,4,cambio_usd,38,-0.046743707674512226,-0.10284376744059008,0.021509953917901902,-0.151625998282665,0.052005837188565,q=5
5,5,4,cambio_usd,39,-0.04201495180715115,-0.09671676208431793,0.02557648554707128,-0.1462788777792834,0.05737763109686102,q=5
5,5,4,cambio_usd,40,-0.03731070330414643,-0.09258915907403462,0.02779187000848429,-0.1380734248253251,0.05780140576234413,q=5
5,5,4,cambio_usd,41,-0.032659903908048335,-0.08734458544731157,0.029763206194432828,-0.13109908997959435,0.0605759396807366,q=5
5,5,4,cambio_usd,42,-0.0280893105792393,-0.08293306930212917,0.031059894197883436,-0.12588767324505862,0.06449426555623698,q=5
5,5,4,cambio_usd,43,-0.02362337632655177,-0.07706630989542554,0.0337511029131886,-0.12145450602070662,0.06780154407553841,q=5
5,5,4,cambio_usd,44,-0.019284083616231695,-0.07186516616727376,0.035400021875988195,-0.11790566088696915,0.07030369595417285,q=5
5,5,4,cambio_usd,45,-0.015091116800537435,-0.06682308802252712,0.03648654422046642,-0.11339993539945867,0.07463628232959454,q=5
5,5,4,cambio_usd,46,-0.011061909873418102,-0.06348385163777172,0.03715610027714066,-0.10970205642196196,0.07689009970193351,q=5
5,5,4,cambio_usd,47,-0.007211614894251423,-0.059464638980533245,0.04169589983959685,-0.10592801491997443,0.07997800734553781,q=5
5,5,4,cambio_usd,48,-0.003553194139974723,-0.05585688327124519,0.044944185832349104,-0.10153260537778996,0.08177423372191933,q=5
5,5,4,embi_perc,0,0.24331345659126985,0.1926795083264378,0.31377264165760393,0.16025221604846818,0.36337850005260536,q=5
5,5,4,embi_perc,1,0.22921549656140375,0.15954640415263396,0.31023737653984107,0.10719127586010933,0.3714197436008376,q=5
5,5,4,embi_perc,2,0.14858171058619046,0.08077799720148926,0.24196465007197746,0.02769285668693138,0.3019268598650998,q=5
5,5,4,embi_perc,3,0.21014192572802734,0.12358690114208402,0.2852607085452397,0.07162658372352221,0.34777542209131224,q=5
5,5,4,embi_perc,4,0.19933387544414102,0.10521061680768767,0.28150179980161383,0.048583301321931345,0.3426900742012071,q=5
5,5,4,embi_perc,5,0.14069642804950971,0.05324924274820661,0.2267299511858456,-0.011023139515851934,0.29907262290719994,q=5
5,5,4,embi_perc,6,0.1348526687004412,0.044105127828299985,0.2292928546527781,-0.010198587048219241,0.2913749501530197,q=5
5,5,4,embi_perc,7,0.11836759160910428,0.029820416861164753,0.22156014963305184,-0.021827632220044434,0.28705293441465746,q=5
5,5,4,embi_perc,8,0.0820240543002187,0.0019520371123265489,0.196910379908639,-0.0546163779801521,0.26379697746277936,q=5
