variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,yield_2y,29,-0.008872114672962152,-0.01377046615751306,-4.511941736846966e-4,-0.02317227887514079,0.003267874517036641
baseline,full,yield_2y,30,-0.008732829494959921,-0.014058639457577841,-3.456275238551293e-4,-0.023027008081899638,0.0034820450128579383
baseline,full,yield_2y,31,-0.008628562335523043,-0.01373331412597542,-3.509747076275789e-4,-0.023421495294360002,0.00350196712116024
baseline,full,yield_2y,32,-0.008469549883506984,-0.013706113851513236,-2.6768617756690036e-4,-0.02350643259077999,0.003350574641051393
baseline,full,yield_2y,33,-0.008239477166466797,-0.013563557637563839,-1.485371904668031e-4,-0.023114842452164434,0.003579354504195483
baseline,full,yield_2y,34,-0.008015192650741788,-0.013201373862038797,-8.57134538760402e-5,-0.02293732251516168,0.0036597071793417592
baseline,full,yield_2y,35,-0.007752508533567054,-0.012693860819198814,6.743859101711867e-5,-0.022777484387409463,0.0035805002094300613
baseline,full,yield_2y,36,-0.007443002951861522,-0.012372299393663019,2.9391202163409926e-4,-0.023166607382925447,0.003918959103908825
baseline,full,yield_2y,37,-0.007132214039979377,-0.012243545709591524,3.8356237923184466e-4,-0.023577472359710226,0.004144723681007002
baseline,full,yield_2y,38,-0.0067967413922595515,-0.011829567940679584,5.945878666687312e-4,-0.022402767791486485,0.004096218488513328
baseline,full,yield_2y,39,-0.006428689048062675,-0.011137135094294788,7.539488819381009e-4,-0.021985771842322564,0.0040824012669120925
baseline,full,yield_2y,40,-0.006063985487287368,-0.010769061292383418,8.200921467229479e-4,-0.021545239216118145,0.004380997810138099
baseline,full,yield_2y,41,-0.005685809206505801,-0.010257110644596057,0.0012645025544867274,-0.021080051823171173,0.0043667833102539935
baseline,full,yield_2y,42,-0.005289170024552444,-0.009804122962718861,0.0015843137181855967,-0.019711466127298093,0.004409341512701421
baseline,full,yield_2y,43,-0.004900460533362964,-0.009496867941443079,0.0017052127888699123,-0.018916450633829775,0.004589619150550407
baseline,full,yield_2y,44,-0.0045073540733142035,-0.009129380650923828,0.0020277840137213894,-0.01770145083878715,0.005383210899598415
baseline,full,yield_2y,45,-0.004110116824957826,-0.008554192695233612,0.0021035906560880955,-0.01730995809209458,0.00539116128995627
baseline,full,yield_2y,46,-0.003725324827352004,-0.007972448198639681,0.0022667347849295227,-0.015678520212256377,0.005579211552771557
baseline,full,yield_2y,47,-0.0033445350335912878,-0.0072079926402596846,0.0023928859821931415,-0.014786876246255447,0.005826185305589076
baseline,full,yield_2y,48,-0.002969553771204951,-0.006766632049112397,0.0025716608215309417,-0.013752382381008225,0.006354728666168006
baseline,full,yield_5y,0,0.011701719992673483,0.009911361701828852,0.015885773199649834,0.008586927153671984,0.019728089228430418
baseline,full,yield_5y,1,0.014310454026705341,0.010474818888234769,0.01887654435780853,0.00888713698093933,0.024003431032459915
baseline,full,yield_5y,2,0.012236571579576552,0.007660759130926854,0.015518855557192977,0.0057898136587109334,0.019890188669289585
baseline,full,yield_5y,3,0.012225191758608612,0.007160908090900139,0.015568524139373216,0.005311064447930878,0.020291300913452895
baseline,full,yield_5y,4,0.009833073953022962,0.004478255247981063,0.012772435434655782,0.0024521896223740594,0.017869908017453195
baseline,full,yield_5y,5,0.007848525054770638,0.0025382318872409835,0.010663411356084078,2.663163138085829e-4,0.01511517682027731
baseline,full,yield_5y,6,0.0077372828631930195,0.0022577965406868107,0.01077690035180413,1.3882615201032544e-5,0.014911890079994805
