var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
price_ipca,24,0.03567105204193058,-0.05984948466146636,0.09094750722168098,-0.13876587269001506,0.16840478309582363,1,FALSE,FALSE
price_ipca,25,0.04615002722245741,-0.048664713874194576,0.10073065806443487,-0.13200066168390076,0.1835887415097287,1,FALSE,FALSE
price_ipca,26,0.05548571152507591,-0.03753214364021849,0.11422114834264983,-0.12194025823350367,0.19534218802715966,1,FALSE,FALSE
price_ipca,27,0.06470878913818442,-0.025623635927894867,0.12217649696203808,-0.10710150540526497,0.20224823523983995,1,FALSE,FALSE
price_ipca,28,0.0727761120632225,-0.017497323863713495,0.13358369079656843,-0.09458714691079637,0.21550796613270512,1,FALSE,FALSE
price_ipca,29,0.07957714806497015,-0.00936291124497705,0.14218153202811318,-0.07408666934497066,0.22793836187988378,1,FALSE,FALSE
price_ipca,30,0.08604813456896912,-4.666880690914497e-4,0.1496804003732654,-0.06071296877509816,0.23940432589737703,1,FALSE,FALSE
price_ipca,31,0.09154278953541578,0.008023730404853657,0.15702998189847897,-0.05007278059848475,0.24553464985734808,1,TRUE,FALSE
price_ipca,32,0.09575370830429249,0.013674810779334794,0.16234463545616412,-0.04456915211840916,0.2509139802028691,1,TRUE,FALSE
price_ipca,33,0.09925748804865821,0.01775799130722889,0.170427429566443,-0.04301553906269804,0.2627887866573734,1,TRUE,FALSE
price_ipca,34,0.1017607622281818,0.019634861885013004,0.1735759790684948,-0.03695438275336685,0.2624131350970066,1,TRUE,FALSE
price_ipca,35,0.1029782547677805,0.02101430297867502,0.17993715586800957,-0.031566089200958276,0.2620852099869952,1,TRUE,FALSE
price_ipca,36,0.10323856088038662,0.02139475473988286,0.1818731089666071,-0.02722471271042791,0.27385928625032396,1,TRUE,FALSE
price_ipca,37,0.10250773988585625,0.020257057916138924,0.18545903533506314,-0.034018929148342085,0.2826452684573971,1,TRUE,FALSE
price_ipca,38,0.10062901209659708,0.019588462917765354,0.1855138793616562,-0.02755361850108919,0.2883530258685748,1,TRUE,FALSE
price_ipca,39,0.09778048036986688,0.01755020303540401,0.18570104596955916,-0.03169630921232077,0.28976163280515016,1,TRUE,FALSE
price_ipca,40,0.09404318843031806,0.017666088322936584,0.18629865718860328,-0.03841357962910282,0.29504666258661005,1,TRUE,FALSE
price_ipca,41,0.08936988547155313,0.013993999335102782,0.18426895491864875,-0.03863884046284384,0.29792913670189786,1,TRUE,FALSE
price_ipca,42,0.08385573086201531,0.009119672711533735,0.18241638701865542,-0.04276938561155556,0.3018678777538873,1,TRUE,FALSE
price_ipca,43,0.07761168893820827,0.005124475302444003,0.17227111694958303,-0.054563567482018405,0.3040352708177361,1,TRUE,FALSE
price_ipca,44,0.07066902506492434,8.555004635120191e-5,0.17106389176624864,-0.061424911161226295,0.305141981231473,1,TRUE,FALSE
price_ipca,45,0.06309909191514493,-0.00716412723962133,0.1639939709484099,-0.0687291067387831,0.3019354098159747,1,FALSE,FALSE
price_ipca,46,0.05501681162867849,-0.014075254007745727,0.1597104065636786,-0.07591254645147308,0.29066982358036375,1,FALSE,FALSE
price_ipca,47,0.04650326102691591,-0.020659991089959754,0.14732140253829681,-0.07964962722541492,0.2857986718850924,1,FALSE,FALSE
price_ipca,48,0.03763450194730846,-0.02721736263420653,0.14058842827501178,-0.09015339059754006,0.2794086011961023,1,FALSE,FALSE
price_ipca_difusao,0,1.1376817626054645,-0.06853723876138551,2.2281417609674286,-0.9437170435822158,3.109595516022612,1,FALSE,FALSE
price_ipca_difusao,1,1.513184063822287,0.08012767558843842,2.327302975436585,-0.6996909891163459,3.1175985001891733,1,TRUE,FALSE
price_ipca_difusao,2,1.0179695531686517,-0.20797220962361512,1.6000914905102792,-0.8605148470183966,2.2227392806542303,1,FALSE,FALSE
price_ipca_difusao,3,0.8702960667266862,-0.497147266434078,1.63481064582887,-1.280437063329236,2.482036427053811,1,FALSE,FALSE
price_ipca_difusao,4,0.9580948524596049,-0.26188421536105533,1.6997394003241844,-0.9908344845472823,2.4153914314510536,1,FALSE,FALSE
price_ipca_difusao,5,0.682414227391814,-0.4364491955408179,1.3486936474140117,-1.2319806801318063,1.9943134026121543,1,FALSE,FALSE
price_ipca_difusao,6,0.1214020465382326,-0.9092156782302699,0.9526856768657908,-1.6668181458157432,1.6839417576107822,1,FALSE,FALSE
price_ipca_difusao,7,-0.24239125255499575,-1.0480686743717238,0.8036156186884316,-2.068566169891824,1.4507646206871672,-1,FALSE,FALSE
price_ipca_difusao,8,-0.5772799857326265,-1.3824367846457022,0.5082954042029046,-2.3265367391225125,1.2060405378856147,-1,FALSE,FALSE
price_ipca_difusao,9,-1.054656974889031,-1.8174055441457098,0.26697381947116205,-2.7479935853975728,0.9150402224743973,-1,FALSE,FALSE
price_ipca_difusao,10,-1.2249717488018201,-1.9475673635454807,0.17796934046859317,-2.897374420187372,0.8601369333499229,-1,FALSE,FALSE
price_ipca_difusao,11,-1.2588892200170712,-1.9910090903941575,0.0698956770668213,-3.117900352308529,0.7306174807835962,-1,FALSE,FALSE
price_ipca_difusao,12,-1.403097414323448,-2.2198432286796623,-0.1568333645357122,-3.3372626293892402,0.5629223464251879,-1,TRUE,FALSE
price_ipca_difusao,13,-1.4168378294622401,-2.2087345267758387,-0.20990952599629353,-3.454814393422273,0.49594000127286175,-1,TRUE,FALSE
price_ipca_difusao,14,-1.3675929368819062,-2.2401499619958325,-0.2540297451098071,-3.3838547586663807,0.3814861934256823,-1,TRUE,FALSE
