tag,r,q,sample,mp_var,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,37,-0.007007482352495153,-0.013383089035342103,1.3492055456042275e-4,-0.021264254395673313,0.0030902071573497927,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,38,-0.007099137711579681,-0.01311104776933708,1.503412919026641e-4,-0.021201360800171477,0.0031086379861935513,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,39,-0.007156538451001749,-0.013090118083724286,1.3080327573229428e-4,-0.020712877227957963,0.002684065260995462,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,40,-0.007178944293161288,-0.012976681515349208,-9.202521864555007e-5,-0.020232278858924837,0.0029158470499470387,-1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,0,0.006937531286206587,0.006337012033684578,0.008210248871148542,0.005953493022291775,0.009103989417825326,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,1,0.007999364314707647,0.0063656994244840545,0.009586289153783824,0.005449269993361644,0.011064762058761009,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,2,0.007637597353675219,0.004777721399228559,0.008556691603935854,0.0031564282798194035,0.00998162071334903,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,3,0.008208754120364902,0.004647846636867739,0.009125363335864924,0.0025718853252819345,0.010824179725433244,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,4,0.007684524165208909,0.0031208904424397466,0.008409309549342223,4.384527665242005e-4,0.010550604197219994,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,5,0.007543257952562206,0.002564157494740931,0.008239585490112528,-2.7518257494192725e-4,0.010351712347285312,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,6,0.007107366948301191,0.0023084630433849993,0.00826977880819536,-8.789147066915017e-4,0.010427792217163319,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,7,0.0062033565688493246,0.0011944640361741478,0.0075113126742114055,-0.0020205075265262384,0.010001047336743445,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,8,0.005085827693545837,-1.3413040169979118e-4,0.00679469801236633,-0.0033489982407306387,0.009533726896222804,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,9,0.0038297052255778564,-0.001256343306437214,0.006044500265024088,-0.004801000680354358,0.00880258488226229,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,10,0.002960068605718604,-0.002098228610595109,0.005654518280904927,-0.005456647511116306,0.008276523582153555,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,11,0.001997299760988503,-0.0026523665707180676,0.005184452420823549,-0.006586136299971874,0.007886892184949474,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,12,0.001046385364282908,-0.0034812694563642445,0.0048449745430063675,-0.007534933005044074,0.00784822736867192,1,FALSE,FALSE
