r,q,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
8,4,embi_perc,24,-0.14146461915085365,-0.258749568130548,-0.010975689153090315,-0.36183171104362916,0.05474989027442154,-1,TRUE,FALSE
8,4,embi_perc,25,-0.13706830970035438,-0.25576879139946346,-0.01032803704024133,-0.37749673561824904,0.05081515296659554,-1,TRUE,FALSE
8,4,embi_perc,26,-0.12951253519107972,-0.25401425078427053,-0.00517830955496283,-0.38408923954615765,0.05553053280938158,-1,TRUE,FALSE
8,4,embi_perc,27,-0.12363797417000255,-0.25409941482228293,-0.001941729298337061,-0.37687561604109737,0.055757437721966153,-1,TRUE,FALSE
8,4,embi_perc,28,-0.11709126219512678,-0.24713700639271743,-0.001199652704713119,-0.3719250861640248,0.056469538642070986,-1,TRUE,FALSE
8,4,embi_perc,29,-0.11036859061151891,-0.2395892723850828,0.0024919987284033798,-0.3669440206765061,0.061502532528550057,-1,FALSE,FALSE
8,4,embi_perc,30,-0.10391686542352556,-0.23003433999846923,0.0034894387375503065,-0.37024704180087764,0.06487215701184082,-1,FALSE,FALSE
8,4,embi_perc,31,-0.09688138047930148,-0.22589420920110653,0.006022729535672913,-0.3583251565765784,0.06438781631270928,-1,FALSE,FALSE
8,4,embi_perc,32,-0.09076263509107849,-0.22031763584076067,0.010365838008823071,-0.35211131579383537,0.06559017561685597,-1,FALSE,FALSE
8,4,embi_perc,33,-0.084779863538857,-0.21639740832336812,0.014328536972526422,-0.3487671920926429,0.07102205665084528,-1,FALSE,FALSE
