var,grupo,tcode,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
icc,atividade,1,17,0.3744628260535402,-1.2904729584102297,0.6684854862045224,-2.372166149252525,1.279275572591325,1,FALSE,FALSE
icc,atividade,1,18,0.44456343876272353,-1.1647543597198746,0.767310126792121,-2.2677193843652304,1.3865728580069026,1,FALSE,FALSE
icc,atividade,1,19,0.5070004274822066,-1.0522690623989646,0.8602701686400354,-2.13238618256364,1.5487719045067707,1,FALSE,FALSE
icc,atividade,1,20,0.5619017592785955,-0.9241085445680062,0.9626810502858231,-1.966196943682071,1.5941604774382818,1,FALSE,FALSE
icc,atividade,1,21,0.609149597920422,-0.8019377580051585,1.059636790958857,-1.8077012290424153,1.7340687823704193,1,FALSE,FALSE
icc,atividade,1,22,0.6491127903975676,-0.7074730444445616,1.1357542820430595,-1.704410129058575,1.8947577295295268,1,FALSE,FALSE
icc,atividade,1,23,0.6821516701755358,-0.6275333402394572,1.2235993595298984,-1.6038467759376946,1.9196433679618468,1,FALSE,FALSE
icc,atividade,1,24,0.7084608725267956,-0.5345099824595095,1.2839461583599605,-1.4968168868928422,2.002468960846532,1,FALSE,FALSE
icc,atividade,1,25,0.7283429328990637,-0.45987770139785267,1.3627127874113036,-1.3843598786952558,2.063052855786838,1,FALSE,FALSE
icc,atividade,1,26,0.7421578641269436,-0.3875230678644836,1.4111539995992453,-1.2993264933812572,2.162930978504965,1,FALSE,FALSE
icc,atividade,1,27,0.750206252051338,-0.3361947047207107,1.4506449351607584,-1.2343330494848308,2.181904665812608,1,FALSE,FALSE
icc,atividade,1,28,0.7528165778910225,-0.2756774862094258,1.4856054800551008,-1.1884581850946534,2.1709920732900607,1,FALSE,FALSE
icc,atividade,1,29,0.7503573924422611,-0.21684779441884122,1.5118612909759388,-1.1323620930382778,2.2406489755806027,1,FALSE,FALSE
icc,atividade,1,30,0.7431853248614703,-0.17601421796420813,1.5227359377294025,-1.0993270822849706,2.3156926943793654,1,FALSE,FALSE
icc,atividade,1,31,0.7316648832611309,-0.1609735188665728,1.5134488331321823,-0.9944127315660366,2.3352092158260924,1,FALSE,FALSE
icc,atividade,1,32,0.7161814368370268,-0.12633893227772625,1.5068862662724802,-0.9273001043768666,2.3313161643618963,1,FALSE,FALSE
icc,atividade,1,33,0.6971201252342003,-0.12022551186766647,1.5141837918329986,-0.8626094793336119,2.3769313623921886,1,FALSE,FALSE
icc,atividade,1,34,0.6748653921357917,-0.13021399985101337,1.4875914197760827,-0.8113850852629,2.3739157928026073,1,FALSE,FALSE
icc,atividade,1,35,0.6498061586739856,-0.11215665506294936,1.462463111540993,-0.7977415994923527,2.316753500774063,1,FALSE,FALSE
icc,atividade,1,36,0.6223275513179722,-0.15604147010032923,1.4445637272267253,-0.8406529259398553,2.2460025890318476,1,FALSE,FALSE
icc,atividade,1,37,0.5928066173437708,-0.16123776906780204,1.399959115290795,-0.8754019683616918,2.249908672462135,1,FALSE,FALSE
icc,atividade,1,38,0.5616125162501083,-0.17827106517575628,1.3993734007590943,-0.9030652098335841,2.184725596372116,1,FALSE,FALSE
icc,atividade,1,39,0.5291030227742016,-0.21356600611309567,1.3773952028682037,-0.9119633805031032,2.09834652123682,1,FALSE,FALSE
icc,atividade,1,40,0.49562113615425574,-0.22226261164886363,1.3220252298244355,-0.9366813740741282,2.0345907703859787,1,FALSE,FALSE
icc,atividade,1,41,0.4614938023782594,-0.2497869820346016,1.3117984989121283,-0.9394383170103644,2.018652327159797,1,FALSE,FALSE
icc,atividade,1,42,0.42703021667664304,-0.2874116087665265,1.2569899457771114,-0.9806818081465652,1.989516911329761,1,FALSE,FALSE
icc,atividade,1,43,0.3925199540195074,-0.32251673502637773,1.2055623509971634,-1.0266588592086672,1.9738622581924403,1,FALSE,FALSE
icc,atividade,1,44,0.358231938618867,-0.3664029215754619,1.1378183926027843,-1.0321912695528033,1.9101328781235958,1,FALSE,FALSE
icc,atividade,1,45,0.324413704413564,-0.3957413173918377,1.1059289554819884,-1.0725955555888391,1.8458953672287368,1,FALSE,FALSE
icc,atividade,1,46,0.2912907014176585,-0.42588031552592304,1.0792146319261704,-1.121739269192446,1.815766848933682,1,FALSE,FALSE
icc,atividade,1,47,0.25906596145281857,-0.4709405442838971,1.022387393787866,-1.1726902927180527,1.8075898679543239,1,FALSE,FALSE
icc,atividade,1,48,0.2279200670807407,-0.49691206361376,0.9783272062438114,-1.2095985929294757,1.7331076345903769,1,FALSE,FALSE
ics,atividade,1,0,-1.938367664801669,-2.7803890314616426,-1.2644779927098002,-3.5198769295766903,-0.756221059994138,-1,TRUE,TRUE
ics,atividade,1,1,-1.2013676476181179,-2.795201312000841,-0.601450533525724,-3.7431481420154404,0.12804109963308388,-1,TRUE,FALSE
ics,atividade,1,2,-0.821456100019217,-2.6673908441422998,-0.2807421296088756,-3.508038443062213,0.35668074270882055,-1,TRUE,FALSE
ics,atividade,1,3,-1.0242163093284327,-2.863501776134906,-0.38169186286794543,-3.809820013317117,0.2879688131269691,-1,TRUE,FALSE
ics,atividade,1,4,-0.8809505043486893,-2.3978789021570144,-0.04516940666514572,-3.2697389153616534,0.6221100895328597,-1,TRUE,FALSE
ics,atividade,1,5,-0.627614651286056,-2.0360957962485595,0.3366592898591762,-2.952991917897945,1.0548609485558966,-1,FALSE,FALSE
ics,atividade,1,6,-0.6962278165065083,-1.9797200751859187,0.4595475503614688,-2.78668628099377,1.2169331602185804,-1,FALSE,FALSE
ics,atividade,1,7,-0.5609714206187103,-1.7137211754117805,0.6172616277815961,-2.502229874897978,1.295923301091538,-1,FALSE,FALSE
ics,atividade,1,8,-0.41284771870383064,-1.5855489728916545,0.7120914674615372,-2.317079411326758,1.3541980534192,-1,FALSE,FALSE
ics,atividade,1,9,-0.3538161509409987,-1.4750687317327649,0.7641575769550109,-2.123415771152121,1.4133766957356,-1,FALSE,FALSE
ics,atividade,1,10,-0.23091247433930945,-1.3580988033883075,0.829395977121295,-1.939802020182975,1.4881888413023465,-1,FALSE,FALSE
ics,atividade,1,11,-0.11826602763102458,-1.2777922570090707,0.9203224662339188,-1.8405349857029405,1.5525222030330597,-1,FALSE,FALSE
ics,atividade,1,12,-0.04339000139052335,-1.165085124924647,0.928299819375663,-1.7740286633855804,1.6064139436159408,-1,FALSE,FALSE
ics,atividade,1,13,0.03763192391605856,-1.053006174324414,1.0143075588928296,-1.6607588119196117,1.6958240321996156,1,FALSE,FALSE
ics,atividade,1,14,0.11216314448424113,-0.9516044610577907,1.074354642616161,-1.5367968203039941,1.7502109808449429,1,FALSE,FALSE
ics,atividade,1,15,0.16881220065317254,-0.8632733248801254,1.1517629219540855,-1.4087524178965993,1.8281901435536676,1,FALSE,FALSE
ics,atividade,1,16,0.2197943938747781,-0.7927771967110216,1.1935446456333183,-1.3334975470348147,1.9051222963880734,1,FALSE,FALSE
ics,atividade,1,17,0.26509239543382906,-0.7321744965687181,1.2061978986672806,-1.2208520215118301,1.8875375200865685,1,FALSE,FALSE
ics,atividade,1,18,0.30169906374055205,-0.6395009529078051,1.2200462989020384,-1.1519071586219003,1.8590981516016571,1,FALSE,FALSE
ics,atividade,1,19,0.33171486573295667,-0.5654625497049054,1.2322780079335227,-1.081646232751817,1.9046096817129639,1,FALSE,FALSE
