variante,var,bloco,h,point,lo68,hi68,lo90,hi90,sig68,sig90
prod,asset_ifnc,acoes,26,-0.9382430714253672,-1.9172858114430644,3.4074371639527543,-3.4238117714330265,6.0010456747316105,FALSE,FALSE
prod,asset_ifnc,acoes,27,-1.1642034748031753,-2.1137692037371565,3.2674129417925717,-3.4617045605780254,5.768508635473238,FALSE,FALSE
prod,asset_ifnc,acoes,28,-1.3780990678821512,-2.2650524130320617,3.0862968529322212,-3.6173361509583066,5.796232562488606,FALSE,FALSE
prod,asset_ifnc,acoes,29,-1.592874522278008,-2.390398247502189,2.855985183756607,-4.0038349565419455,5.583293551736,FALSE,FALSE
prod,asset_ifnc,acoes,30,-1.7960998888138064,-2.460802612690772,2.6944907490775973,-4.377076570257638,5.471542231212384,FALSE,FALSE
prod,asset_ifnc,acoes,31,-1.9912745669219067,-2.5889089647426324,2.566868872514014,-4.567937965467471,5.236639071363374,FALSE,FALSE
prod,asset_ifnc,acoes,32,-2.1762176927613295,-2.748287870197746,2.2684281375251416,-4.643812636575362,5.0661140244480025,FALSE,FALSE
prod,asset_ifnc,acoes,33,-2.343925761648302,-2.897812285211744,2.13633240571527,-4.824265768768032,4.766374562855302,FALSE,FALSE
prod,asset_ifnc,acoes,34,-2.500311986190797,-3.0105215398152314,1.934965745892083,-4.955876077250055,4.497442753415501,FALSE,FALSE
prod,asset_ifnc,acoes,35,-2.6417859744931023,-3.1042389695846273,1.7576792258049079,-5.106897781942975,4.079496075674046,FALSE,FALSE
prod,asset_ifnc,acoes,36,-2.7667007717979746,-3.207967250463369,1.6073545866345342,-5.13553744153881,3.8422443697758046,FALSE,FALSE
prod,asset_ifnc,acoes,37,-2.8761327783554904,-3.2865932895330268,1.3965041823565578,-5.265343895614884,3.609310778767706,FALSE,FALSE
prod,asset_ifnc,acoes,38,-2.9671380041013915,-3.400386962473349,1.2699701947043545,-5.296339027782756,3.465859542218715,FALSE,FALSE
prod,asset_ifnc,acoes,39,-3.040543777661632,-3.4539676548464553,1.1393096945611312,-5.267910089977104,3.2448371462798433,FALSE,FALSE
prod,asset_ifnc,acoes,40,-3.0964859830723412,-3.51166569929326,0.9944735878906665,-5.326396984032398,3.0749817355077136,FALSE,FALSE
prod,asset_ifnc,acoes,41,-3.134373485475397,-3.5625720789393425,0.9288784421376047,-5.535345615658807,2.9031993833617733,FALSE,FALSE
prod,asset_ifnc,acoes,42,-3.1547387810495127,-3.5216694868479155,0.7683789023839858,-5.713413852161404,2.7767968877973024,FALSE,FALSE
prod,asset_ifnc,acoes,43,-3.157472226380815,-3.539848645315165,0.675011315253674,-5.62706550723031,2.7188434287550765,FALSE,FALSE
prod,asset_ifnc,acoes,44,-3.1431706835018813,-3.6657816877360156,0.5689951281539474,-5.714498450954219,2.645681744551895,FALSE,FALSE
