ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_primary_result,dlsp_nominal_interest,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations
2024-01-01,-47695.356416620314,-22232.234609750027,-102146.34826007002,79914.11365032,-28440.741751819998,-553.6500340400016,0
2024-02-01,128511.12299175002,113857.83584264998,48691.768569129985,65166.06727352,-7443.940334109999,8891.548575999997,0
2024-03-01,48005.24689841177,62981.42038191999,-1177.0015852500073,64158.42196717,-3254.6486687800007,-1069.59634745,0
2024-04-01,45524.55753532797,69638.01945588,-6688.169854049999,76326.18930992999,-44209.29676135999,1972.27889761,0
2024-05-01,109958.12877782993,138256.28887495003,63894.97526011,74361.31361484002,-18047.94109619,7495.325595799999,0
2024-06-01,49063.31820979342,135723.84896089,40873.26213329001,94850.58682759998,-81436.18055163,6876.41196352,0
2024-07-01,16402.24997207895,101472.05764535003,21348.320522429993,80123.73712292004,-27315.39408914,-125.76821540000014,-32586.28536884
2024-08-01,63552.48813915718,90380.52169365002,21425.036893339995,68955.48480031002,963.78664321,90.04691864999995,-0.41750159
2024-09-01,91215.57137224171,53766.53840612,7339.5282172700145,46427.010188849985,56318.29446538999,568.9131214999998,0
2024-10-01,16563.02053542994,74680.72676532003,-36882.94341256999,111563.67017789002,-88959.11741677999,11.143129449999947,-579.74208232
2024-11-01,20507.223756199703,99078.63857134998,6619.600091539999,92459.03847980998,-72963.80254522001,-297.9864867000001,0
2024-12-01,66301.1636610711,80372.05010447,-15745.164734209977,96117.21483867998,-33606.12169779,5046.691465,0
2025-01-01,-76.96397751942277,-63737.127651210016,-104095.54676836001,40358.41911715,84566.84072826998,-6565.961499809995,0
2025-02-01,75854.47955747973,97225.82028459996,18973.29487963997,78252.52540495999,-4537.6257542700005,1789.48629044,0
2025-03-01,83166.55915815942,71620.51139953002,-3588.20453507,75208.71593460003,25238.15632951,1176.802958499999,0
2025-04-01,52998.50747264642,55535.990986410005,-14149.737021039984,69685.72800744999,20136.010812149998,3092.38446644,0
2025-05-01,115024.41528078262,125884.81414056005,33739.55842040001,92145.25572016004,-11753.85619654,3031.12258392,0
2025-06-01,154523.47912084125,108107.16078447,47091.18464230001,61015.97614217,61952.81787317998,3378.6567741800004,0
2025-07-01,148893.17140916735,175575.69411157997,66566.27892633998,109009.41518524,-35979.837333330004,-379.03223377999996,0
2025-08-01,118063.48311488144,91516.12244199998,17254.833952420002,74261.28848957998,43761.48987265001,4569.359298920001,0
2025-09-01,117712.9628906576,102184.70169815,17452.31290783999,84732.38879031001,27367.512183350005,209.52115722999994,0
