sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
pre_covid,5,4,6,yield_2y,31,-0.0045056387067230275,-0.007792757889482871,2.049541188219256e-4,-0.012884746875969681,0.006614378314824937,FALSE,FALSE
pre_covid,5,4,6,yield_2y,32,-0.004305461970265338,-0.007886305938017575,1.666836612499397e-4,-0.013315493512486521,0.00669444942484562,FALSE,FALSE
pre_covid,5,4,6,yield_2y,33,-0.004067209465014803,-0.00789103495479036,4.175995638877111e-4,-0.012871935941126539,0.007087057986104627,FALSE,FALSE
pre_covid,5,4,6,yield_2y,34,-0.0037819466666973636,-0.008108029625489404,8.030296896505126e-4,-0.013337799138001198,0.007222349268039971,FALSE,FALSE
pre_covid,5,4,6,yield_2y,35,-0.003459450886079459,-0.008052883035010923,0.0011778632260190753,-0.01316438564871401,0.007862933526941096,FALSE,FALSE
pre_covid,5,4,6,yield_2y,36,-0.003109866459132174,-0.007918826178222926,0.001583436573499808,-0.0132638701851342,0.007907493212636764,FALSE,FALSE
pre_covid,5,4,6,yield_2y,37,-0.00273589231084242,-0.0078849988543059,0.0019040608065535379,-0.01342178344480735,0.008424835210836309,FALSE,FALSE
pre_covid,5,4,6,yield_2y,38,-0.0023452309642037674,-0.007447282432861864,0.0020489602153828364,-0.014046309360355119,0.00845875787244129,FALSE,FALSE
pre_covid,5,4,6,yield_2y,39,-0.0019420247762556722,-0.007286631872712324,0.002273296712923657,-0.014585728838339017,0.00970831916254505,FALSE,FALSE
pre_covid,5,4,6,yield_2y,40,-0.001530127354114036,-0.007041907105771538,0.002728775549760794,-0.01479498835431355,0.009749696484494207,FALSE,FALSE
pre_covid,5,4,6,yield_2y,41,-0.0011113196262862604,-0.0068211405587075575,0.003374858138373559,-0.014955803356492653,0.010206276633555679,FALSE,FALSE
pre_covid,5,4,6,yield_2y,42,-6.861509033572261e-4,-0.0065587043677572,0.0037224083925386496,-0.015175830659679862,0.011105305916618588,FALSE,FALSE
pre_covid,5,4,6,yield_2y,43,-2.585441516909799e-4,-0.006331698798303023,0.004200075368239988,-0.01476374022927373,0.011577072046428905,FALSE,FALSE
pre_covid,5,4,6,yield_2y,44,1.702928928664869e-4,-0.005911536669608592,0.004626797040682268,-0.014553592832382804,0.011537677835154272,FALSE,FALSE
pre_covid,5,4,6,yield_2y,45,5.981389889676802e-4,-0.005639407864090504,0.005036499895187104,-0.014438493251524648,0.012633390226188777,FALSE,FALSE
pre_covid,5,4,6,yield_2y,46,0.001020522399957155,-0.005098007590984253,0.005384669561322417,-0.014223001475367241,0.013832974384051736,FALSE,FALSE
