cell_id,cell,reference_cell,comparison,var,h,point,reference_point,difference_vs_reference
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,20,-0.03618912415860982,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,20,4.403275649166878,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,21,-0.016694297250788852,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,21,-0.019315658305451972,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,21,0.003671041643860731,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,21,-0.0378065258498289,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,21,3.806704171257386,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,22,-0.01596995436601741,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,22,-0.02056726178866581,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,22,0.0032965631184634827,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,22,-0.038998902289669124,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,22,3.2322002422607437,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,23,-0.01565646008334247,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,23,-0.02157376753232759,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,23,0.002924049775881242,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,23,-0.03979241254873215,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,23,2.681341950004846,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,24,-0.015693557664416446,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,24,-0.022346912604831914,NA,NA
