var,h,winner,runnerup
asset_mlcx,28,1.4493445379450847,17.73520629130635
asset_mlcx,29,1.8767781481197126,16.639134094938665
asset_mlcx,30,2.318143196448339,15.468318289785197
asset_mlcx,31,2.7805157830178775,14.249438969772616
asset_mlcx,32,3.259040826180911,12.993163409593745
asset_mlcx,33,3.738572040805161,11.670546000776346
asset_mlcx,34,4.2245037172292745,10.296448512542423
asset_mlcx,35,4.709666864814823,8.867834280071612
asset_mlcx,36,5.177375085439705,7.365534610673875
asset_mlcx,37,5.62786917983259,5.793781498052317
asset_mlcx,38,6.057514058598631,4.150260306845096
asset_mlcx,39,6.458146332836627,2.4307588423409485
asset_mlcx,40,6.8306585695941076,0.6417823904263569
asset_mlcx,41,7.170985103503064,-1.2130179109134274
asset_mlcx,42,7.473400512528363,-3.1325175946118984
asset_mlcx,43,7.7381495987502475,-5.107910417981212
asset_mlcx,44,7.963284432838957,-7.131801078054462
asset_mlcx,45,8.147018981719224,-9.197941563545058
asset_mlcx,46,8.290337491987804,-11.295495245584195
asset_mlcx,47,8.39301104718406,-13.41509638906024
asset_mlcx,48,8.455708027372651,-15.547418078262035
asset_smll,0,-12.014459922706344,-12.579278667390724
asset_smll,1,-15.04420242016554,-22.88565867337079
asset_smll,2,-13.946321400774536,-18.762207909966676
asset_smll,3,-13.962429858889008,-19.903359407168473
asset_smll,4,-13.291117546775258,-19.534393528214768
asset_smll,5,-13.814891174300017,-13.83269046932771
asset_smll,6,-14.43333698987849,-13.607731132466466
asset_smll,7,-14.478027200081078,-11.730537052896334
asset_smll,8,-12.644558612155107,-8.745747693972325
asset_smll,9,-11.88093536952696,-5.725198846367531
asset_smll,10,-11.886728815781714,-3.271519130666663
asset_smll,11,-11.17677621883361,-0.856144193136587
asset_smll,12,-10.721970249319495,1.5552420821349344
asset_smll,13,-10.002504120463113,2.9943751866343487
asset_smll,14,-9.088457759514998,4.724752995832313
asset_smll,15,-8.569866794982397,5.874782207335957
asset_smll,16,-8.267368749882781,6.296247785991121
asset_smll,17,-7.905980387343147,6.826212512996406
asset_smll,18,-7.496075248451013,6.928131748182201
asset_smll,19,-7.097971789420132,6.833664447853385
asset_smll,20,-6.679974346194265,6.584570367822526
asset_smll,21,-6.358553750975222,6.015591678834569
