ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_5y,12,0.0038782000819096276,-0.011011559385259514,0.006435669601418178,-0.05995670456127167,0.025140067844022243
GMR nao-gaussiano,yield_5y,13,0.0029130862898284816,-0.011798219664140866,0.006382332293206742,-0.054262830937298286,0.02096616224814786
GMR nao-gaussiano,yield_5y,14,0.0023002922990486984,-0.011895208507024448,0.006758543333506973,-0.053653434156458575,0.021419620469100308
GMR nao-gaussiano,yield_5y,15,0.002162315478718475,-0.012849829099780878,0.00665878985164411,-0.055960051947919184,0.020075980020354205
GMR nao-gaussiano,yield_5y,16,0.0019254517449417733,-0.01364954416136574,0.006512893727508276,-0.04650907755507369,0.020827424832970644
GMR nao-gaussiano,yield_5y,17,0.0017548359105282363,-0.012783571646056022,0.006426467343672883,-0.043634093030742456,0.021228502352838758
GMR nao-gaussiano,yield_5y,18,0.0016206127549999864,-0.011086720172730938,0.006994231805970879,-0.04145854214281836,0.02074168534522526
GMR nao-gaussiano,yield_5y,19,0.0014529075580633102,-0.010985972234218211,0.007090565112072117,-0.04191372715421245,0.03337717322069277
GMR nao-gaussiano,yield_5y,20,0.0013120102246427599,-0.0114787804899585,0.006896195824514513,-0.03745679040046959,0.03305289404829767
GMR nao-gaussiano,yield_5y,21,0.0013820143131097144,-0.011510573270157452,0.00733731021550325,-0.03988459574104344,0.026638060169023658
GMR nao-gaussiano,yield_5y,22,0.0013349110618711955,-0.011588941962747918,0.0073058902945508444,-0.03837725726595847,0.024126836473753036
GMR nao-gaussiano,yield_5y,23,0.001258668489179914,-0.01110315967632722,0.00786774997633524,-0.03689073815753052,0.020635606811166614
GMR nao-gaussiano,yield_5y,24,0.0012108562586539131,-0.011600101034754715,0.008982485369895805,-0.03613460221375723,0.02649035590856056
GMR nao-gaussiano,yield_5y,25,0.0010286146021684667,-0.011659816394119863,0.00853230435779914,-0.03571826718571961,0.028720871873980286
GMR nao-gaussiano,yield_5y,26,8.974137422916354e-4,-0.010561620673406035,0.007574740308883774,-0.0328493134059444,0.029718933081026706
GMR nao-gaussiano,yield_5y,27,7.820899321468493e-4,-0.009893288353451036,0.006768970698280096,-0.0332261599309024,0.022897374464870755
GMR nao-gaussiano,yield_5y,28,6.120952019618572e-4,-0.009228105801426611,0.006578374029770824,-0.027883355591245166,0.022041841248174463
GMR nao-gaussiano,yield_5y,29,4.568097228629977e-4,-0.009201787388499966,0.006308458613889819,-0.025068010694071472,0.023244383392707627
GMR nao-gaussiano,yield_5y,30,3.0085964267299875e-4,-0.008780337533029177,0.006000599019101452,-0.025588458019357548,0.0269309415109133
GMR nao-gaussiano,yield_5y,31,1.344687669538741e-4,-0.008167071769864356,0.006706091145700137,-0.026225790814373814,0.028173790975163714
GMR nao-gaussiano,yield_5y,32,-2.4749792985903477e-5,-0.007990655928834259,0.0069916443976063836,-0.026203518268450413,0.029637539706739643
GMR nao-gaussiano,yield_5y,33,-1.81703639705165e-4,-0.0075796253397222065,0.007708484547249147,-0.02594027267842474,0.04117136249632957
GMR nao-gaussiano,yield_5y,34,-3.5305918428456165e-4,-0.007507241179111552,0.007682458694008451,-0.025676471188709398,0.04592854589294875
GMR nao-gaussiano,yield_5y,35,-5.185085322966229e-4,-0.007604096423851771,0.008013219625729163,-0.026020040538944997,0.04087954682557153
GMR nao-gaussiano,yield_5y,36,-6.738877503188718e-4,-0.007333230198548347,0.008201153761650476,-0.025081795627933546,0.03395374504029171
GMR nao-gaussiano,yield_5y,37,-8.263671495627138e-4,-0.0071526079421760785,0.008253447868495486,-0.024925574101468482,0.034101044602779934
GMR nao-gaussiano,yield_5y,38,-9.575534893568506e-4,-0.007559031954622387,0.008091337770453715,-0.025864817934536915,0.033691996318500214
GMR nao-gaussiano,yield_5y,39,-0.0010732809459524574,-0.008493380485659096,0.007842013185682364,-0.0288720396161594,0.03333900843351048
GMR nao-gaussiano,yield_5y,40,-0.0011765659454070262,-0.007887651737571916,0.007533519240982227,-0.029426215293009542,0.03316478676009424
