sample,target_bd,agg,instrument,nw_lags,n_obs,n_nonzero,wald_mp,wald_mp_nw0,f_robust_mp,f_robust_mp_nw0,impact_mp,ar_bounded
pre_covid,84,gk,z_bruto,1,78,139,6.695343366297988,5.697680685887695,2.4865314724344545,2.354474576914351,3.96900584306698e-5,TRUE
pre_covid,105,sum,z_jk_bs_purif,0,78,61,10.59928100485082,10.59928100485082,6.539148161630521,6.539148161630521,5.017313097931338e-5,TRUE
pre_covid,105,sum,z_jk_raw,0,78,56,10.19090301493672,10.19090301493672,6.769884829353331,6.769884829353331,4.8507482040194e-5,TRUE
pre_covid,105,sum,z_jk_raw_purif,0,78,56,10.749483591662706,10.749483591662706,7.171624884638175,7.171624884638175,4.836452363263968e-5,TRUE
pre_covid,105,sum,z_jk_purif,0,78,64,13.285556498751145,13.285556498751145,11.473510974711376,11.473510974711376,6.575084786260063e-5,TRUE
pre_covid,105,sum,z_bruto,0,78,94,16.002479436089576,16.002479436089576,10.19676884019141,10.19676884019141,4.8071063162723696e-5,TRUE
pre_covid,105,gk,z_jk_bs_purif,1,78,98,3.5802764263887585,3.4375681207067523,1.5725583477018765,1.4533483379537044,3.747954914783956e-5,FALSE
pre_covid,105,gk,z_jk_raw,1,78,92,4.625083717392109,4.3830339127008395,2.2401734254302403,2.026917584964642,4.0639993956277454e-5,TRUE
pre_covid,105,gk,z_jk_raw_purif,1,78,92,4.610244579055467,4.356715976161245,2.193023423985496,2.002575772139653,4.01423492695723e-5,TRUE
pre_covid,105,gk,z_jk_purif,1,78,105,6.141215535650343,6.030169849618471,3.3285435241012538,3.1229446044291613,5.010856837451688e-5,TRUE
pre_covid,105,gk,z_bruto,1,78,147,8.108822140975816,6.990696001293332,3.1546599368153694,2.9488037484488783,3.657492704383819e-5,TRUE
pre_covid,126,sum,z_jk_bs_purif,0,78,62,11.534896821694211,11.534896821694211,6.264391345021224,6.264391345021224,5.0561368258530826e-5,TRUE
pre_covid,126,sum,z_jk_raw,0,78,55,10.09593145424163,10.09593145424163,6.122373309626368,6.122373309626368,4.9273369450248844e-5,TRUE
pre_covid,126,sum,z_jk_raw_purif,0,78,55,10.740013692664618,10.740013692664618,6.544875995524432,6.544875995524432,5.0073860446046214e-5,TRUE
pre_covid,126,sum,z_jk_purif,0,78,65,13.88859983256553,13.88859983256553,11.166555051826977,11.166555051826977,6.673228773883035e-5,TRUE
pre_covid,126,sum,z_bruto,0,78,92,16.85898075316497,16.85898075316497,10.684943662863525,10.684943662863525,4.6615498480558216e-5,TRUE
